variable,level_1,period,mult,smoothing,flip_count,avg_lag,lag_2020,lag_2022,score
M2_LEVEL,27,20,2.5,raw,2,29.237844940867276,47.50328515111695,10.972404730617608,-30.037844940867277
M2_LEVEL,15,15,2.5,raw,2,29.237844940867276,47.50328515111695,10.972404730617608,-30.037844940867277
M2_LEVEL,1,10,2.0,ma3,2,29.23784494086728,48.52168199737188,9.95400788436268,-30.03784494086728
M2_LEVEL,6,10,3.0,raw,2,29.23784494086728,48.52168199737188,9.95400788436268,-30.03784494086728
M2_LEVEL,37,24,2.0,ma3,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,18,15,3.0,raw,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,13,15,2.0,ma3,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,25,20,2.0,ma3,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,7,10,3.0,ma3,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,4,10,2.5,ma3,2,29.74704336399474,48.52168199737188,10.972404730617608,-30.547043363994742
M2_LEVEL,30,20,3.0,raw,2,30.206964520367933,47.50328515111695,12.910643889618921,-31.006964520367934
M2_LEVEL,2,10,2.0,ma6,2,30.23981603153745,49.50722733245729,10.972404730617608,-31.039816031537452
M2_LEVEL,28,20,2.5,ma3,2,30.256241787122207,48.52168199737188,11.990801576872535,-31.056241787122207
M2_LEVEL,16,15,2.5,ma3,2,30.256241787122207,48.52168199737188,11.990801576872535,-31.056241787122207
M2_LEVEL,40,24,2.5,ma3,2,30.716162943495398,48.52168199737188,12.910643889618921,-31.5161629434954
M2_LEVEL,42,24,3.0,raw,2,30.716162943495398,48.52168199737188,12.910643889618921,-31.5161629434954
M2_LEVEL,9,10,4.0,raw,2,30.749014454664916,50.52562417871222,10.972404730617608,-31.549014454664917
M2_LEVEL,26,20,2.0,ma6,2,31.208935611038108,49.50722733245729,12.910643889618921,-32.008935611038105
M2_LEVEL,19,15,3.0,ma3,2,31.208935611038108,49.50722733245729,12.910643889618921,-32.008935611038105
M2_LEVEL,31,20,3.0,ma3,2,31.225361366622863,48.52168199737188,13.92904073587385,-32.02536136662286
M2_LEVEL,5,10,2.5,ma6,2,31.258212877792378,50.52562417871222,11.990801576872535,-32.05821287779238
M2_LEVEL,10,10,4.0,ma3,2,31.258212877792378,50.52562417871222,11.990801576872535,-32.05821287779238
M2_LEVEL,14,15,2.0,ma6,2,31.258212877792378,50.52562417871222,11.990801576872535,-32.05821287779238
M2_LEVEL,8,10,3.0,ma6,2,31.718134034165573,50.52562417871222,12.910643889618921,-32.51813403416557
M2_LEVEL,38,24,2.0,ma6,2,31.718134034165573,50.52562417871222,12.910643889618921,-32.51813403416557
M2_LEVEL,17,15,2.5,ma6,2,31.718134034165573,50.52562417871222,12.910643889618921,-32.51813403416557
M2_LEVEL,43,24,3.0,ma3,2,31.71813403416557,49.50722733245729,13.92904073587385,-32.51813403416557
M2_LEVEL,21,15,4.0,raw,2,32.210906701708275,51.51116951379763,12.910643889618921,-33.01090670170827
M2_LEVEL,45,24,4.0,raw,2,32.22733245729304,50.52562417871222,13.92904073587385,-33.027332457293035
M2_LEVEL,29,20,2.5,ma6,2,32.22733245729304,50.52562417871222,13.92904073587385,-33.027332457293035
M2_LEVEL,33,20,4.0,raw,2,32.22733245729304,50.52562417871222,13.92904073587385,-33.027332457293035
M2_LEVEL,41,24,2.5,ma6,2,32.22733245729304,50.52562417871222,13.92904073587385,-33.027332457293035
M2_LEVEL,11,10,4.0,ma6,2,32.72010512483574,51.51116951379763,13.92904073587385,-33.52010512483574
M2_LEVEL,20,15,3.0,ma6,2,32.72010512483574,51.51116951379763,13.92904073587385,-33.52010512483574
M2_LEVEL,32,20,3.0,ma6,2,32.72010512483574,50.52562417871222,14.914586070959263,-33.52010512483574
M2_LEVEL,22,15,4.0,ma3,2,32.72010512483574,51.51116951379763,13.92904073587385,-33.52010512483574
M2_LEVEL,34,20,4.0,ma3,2,32.72010512483574,50.52562417871222,14.914586070959263,-33.52010512483574
M2_LEVEL,46,24,4.0,ma3,2,33.21287779237845,51.51116951379763,14.914586070959263,-34.01287779237845
